Feature,Importance
Overall Qual,0.6481256133534655
Gr Liv Area,0.11220350095877933
1st Flr SF,0.038476709396185575
Total Bsmt SF,0.03496439972814777
Full Bath,0.030785447630957204
BsmtFin SF 1,0.02780679646599588
Year Built,0.02060353688072092
Lot Area,0.02017940289236895
Garage Area,0.017988425761114254
Year Remod/Add,0.012633287326133485
Lot Frontage,0.008742562420346878
Mas Vnr Area,0.005623587207476599
Open Porch SF,0.005522224177844914
Wood Deck SF,0.005344733537118882
Fireplaces,0.005206843913260007
TotRms AbvGrd,0.004388132256173197
Bldg Type_1Fam,0.0008257530162399963
Bldg Type_2fmCon,0.00020125560978038822
Bldg Type_TwnhsE,0.00017041468608111182
Bldg Type_Duplex,0.0001650885855983332
Bldg Type_Twnhs,4.2284196210856967e-05
